Repository Name                                                 Username                                                        Contribution Quantity           Users Follower Quantity         

google/ios-webkit-debug-proxy                                   artygus                                                         92                              32                              
google/ios-webkit-debug-proxy                                   paulirish                                                       14                              29904                           
google/ios-webkit-debug-proxy                                   jchuong                                                         10                              7                               
google/ios-webkit-debug-proxy                                   auchenberg                                                      5                               984                             
google/ios-webkit-debug-proxy                                   pmeenan                                                         5                               251                             
Repository Name                                                 Username                                                        Contribution Quantity           Users Follower Quantity         

google/traceur-compiler                                         arv                                                             749                             742                             
google/traceur-compiler                                         johnjbarton                                                     388                             66                              
google/traceur-compiler                                         usrbincc                                                        81                              5                               
google/traceur-compiler                                         guybedford                                                      34                              1276                            
google/traceur-compiler                                         mathiasbynens                                                   16                              10114                           
Repository Name                                                 Username                                                        Contribution Quantity           Users Follower Quantity         

google/dagger                                                   ronshapiro                                                      655                             348                             
google/dagger                                                   cgruber                                                         476                             390                             
google/dagger                                                   netdpb                                                          357                             62                              
google/dagger                                                   bcorso                                                          354                             15                              
google/dagger                                                   gk5885                                                          215                             436                             
